
UNIQUE_CARRIER, Description, QUARTER,Sum(CURR_ASSETS)
"UA","United Air Lines Inc.","4",14799610
"WI","Sky Lease Cargo","1",20899
"WI","Sky Lease Cargo","2",45010
"WI","Sky Lease Cargo","3",61547
"WI","Sky Lease Cargo","4",68386
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","1",11882
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","2",19326
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","3",23818
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","4",27979
"WN","Southwest Airlines Co.","1",7027769
"WN","Southwest Airlines Co.","2",15871596
"WN","Southwest Airlines Co.","3",16133242
"WN","Southwest Airlines Co.","4",15173150
"X9","Omni Air International LLC","1",170988
"X9","Omni Air International LLC","2",244019
"X9","Omni Air International LLC","3",313462
"X9","Omni Air International LLC","4",311732
"XP","TEM Enterprises dba  Avelo Airlines","1",
"XP","TEM Enterprises dba  Avelo Airlines","2",2366
"XP","TEM Enterprises dba  Avelo Airlines","3",
"XP","TEM Enterprises dba  Avelo Airlines","4",
"YV","Mesa Airlines Inc.","1",19001
"YV","Mesa Airlines Inc.","2",19943
"YV","Mesa Airlines Inc.","3",17580
"YV","Mesa Airlines Inc.","4",25022
"YX","Republic Airline","1",368574
"YX","Republic Airline","2",423036
"YX","Republic Airline","3",477083
"YX","Republic Airline","4",492284
"ZW","Air Wisconsin Airlines Corp","1",31292
"ZW","Air Wisconsin Airlines Corp","2",50585
"ZW","Air Wisconsin Airlines Corp","3",68701
"ZW","Air Wisconsin Airlines Corp","4",70692
"All Rows","All Rows (including those not displayed)","1",73296304
"All Rows","All Rows (including those not displayed)","2",99364932
"All Rows","All Rows (including those not displayed)","3",113622308
"All Rows","All Rows (including those not displayed)","4",101140229
