
UNIQUE_CARRIER, Description, QUARTER,Sum(LIAB_SH_HLD_EQUITY)
"YV","Mesa Airlines Inc.","1",1495943
"YV","Mesa Airlines Inc.","2",1477394
"YV","Mesa Airlines Inc.","3",1248477
"YV","Mesa Airlines Inc.","4",1299505
"YX","Republic Airline","1",2506791
"YX","Republic Airline","2",2473218
"YX","Republic Airline","3",2452520
"YX","Republic Airline","4",2464463
"ZW","Air Wisconsin Airlines Corp","1",270007
"ZW","Air Wisconsin Airlines Corp","2",263184
"ZW","Air Wisconsin Airlines Corp","3",249376
"ZW","Air Wisconsin Airlines Corp","4",233089
"All Rows","All Rows (including those not displayed)","1",395200650
"All Rows","All Rows (including those not displayed)","2",400053640
"All Rows","All Rows (including those not displayed)","3",390572919
"All Rows","All Rows (including those not displayed)","4",388243244
